"Name","test_r2","test_r","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","split_method","comp_smiles","loss_fn","lr","num_epochs","num_warmup_steps","optimiser","scheduler","train_split","model","protein","elapsed","epoch","percentage_complete","test_loss","test_mae","test_mse","test_rmse","test_ssr","train_loss","train_mse","training_loss"
"sage-plant-1217","0.28517538166021517","0.6346642098468966","finished","DeepChem/ChemBERTa-10M-MLM","bk1n","DeepChem/ChemBERTa-10M-MLM, bindingDB_OPRK_HUMAN_P41145, full_test","2023-01-18T20:48:06.000Z","47","","128","","false","modules.loss.RMSE_loss","0.00000365722184779268","40","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.LinearLR","0.85","DeepChem/ChemBERTa-10M-MLM","bindingDB_OPRK_HUMAN_P41145","0.946463108062744","40","97.5","0.30379077792167664","0.26439645886421204","0.10158657282590866","0.31872648000717163","25.802989959716797","0.28575628995895386","",""
"young-lake-613","0.284980899061012","0.5389405108756289","finished","seyonec/ChemBERTa-zinc250k-v1","bk1n","bindingDB_DRD2_HUMAN_P14416, full_test, seyonec/ChemBERTa-zinc250k-v1","2023-01-16T14:33:26.000Z","103","","128","","true","modules.loss.RMSE_loss","0.00004916398021512103","80","10","modules.optimisers.Optim_BaseAdamW","transformers.optimization.get_linear_schedule_with_warmup","0.85","seyonec/ChemBERTa-zinc250k-v1","bindingDB_DRD2_HUMAN_P14416","11.498896837234495","7","7.5","0.17142972350120544","0.15276531875133514","0.04289858415722847","0.20711973309516907","22.135669708251953","0.21043924987316132","",""
"vague-snow-1091","0.2817005688521079","0.5865520872203724","finished","DeepChem/ChemBERTa-10M-MLM","bk1n","DeepChem/ChemBERTa-10M-MLM, bindingDB_AA1R_HUMAN_P30542, full_test","2023-01-18T19:03:25.000Z","36","","128","","true","torch.nn.modules.loss.SmoothL1Loss","0.0000623682346650117","40","10","modules.optimisers.Optim_BaseAdamW","transformers.optimization.get_linear_schedule_with_warmup","0.85","DeepChem/ChemBERTa-10M-MLM","bindingDB_AA1R_HUMAN_P30542","1.0555040836334229","25","60","0.016778942197561264","0.14303942024707794","0.03764874488115311","0.1940328478813171","10.654593467712402","0.006790591403841972","",""
"dulcet-smoke-565","0.28077826812295925","0.668401926729962","finished","seyonec/ChemBERTa-zinc250k-v1","bk1n","bindingDB_AA1R_HUMAN_P30542, full_test, seyonec/ChemBERTa-zinc250k-v1","2023-01-13T10:34:17.000Z","161","","128","","false","torch.nn.modules.loss.SmoothL1Loss","0.00006691773193612721","80","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.ExponentialLR","0.85","seyonec/ChemBERTa-zinc250k-v1","bindingDB_AA1R_HUMAN_P30542","6.272464752197266","23","27.500000000000004","0.020997826009988785","0.15030767023563385","0.03769708052277565","0.19415736198425293","10.66827392578125","0.0024992667604237795","",""
"magic-plant-667","0.278188198226326","0.5993916987510564","finished","seyonec/ChemBERTa-zinc250k-v1","bk1n","bindingDB_AA1R_HUMAN_P30542, full_test, seyonec/ChemBERTa-zinc250k-v1","2023-01-17T09:09:35.000Z","80","","128","","true","torch.nn.modules.loss.SmoothL1Loss","0.000055520782837938025","80","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.LinearLR","0.85","seyonec/ChemBERTa-zinc250k-v1","bindingDB_AA1R_HUMAN_P30542","6.238645315170288","10","11.25","0.021166585385799408","0.14697183668613434","0.0378328412771225","0.1945066601037979","10.706692695617676","0.00950229912996292","",""
"electric-sound-1655","0.2763870785424305","0.5635605132381099","finished","DeepChem/ChemBERTa-77M-MTR","bk1n","DeepChem/ChemBERTa-77M-MTR, bindingDB_DRD2_HUMAN_P14416, full_test","2023-01-20T11:03:25.000Z","29","","128","","true","modules.loss.RMSE_loss","0.00004148677440466092","40","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.LinearLR","0.85","DeepChem/ChemBERTa-77M-MTR","bindingDB_DRD2_HUMAN_P14416","1.8161959648132324","10","22.5","0.14262717962265015","0.16030801832675934","0.04341418296098709","0.2083607017993927","22.40172004699707","0.1980960518121719","",""
"fiery-darkness-1716","0.27578680454770976","0.5263145814168532","finished","DeepChem/ChemBERTa-77M-MTR","bk1n","DeepChem/ChemBERTa-77M-MTR, bindingDB_AA1R_HUMAN_P30542, full_test","2023-01-20T11:50:31.000Z","38","","128","","false","modules.loss.RMSE_loss","0.00004100511783819286","80","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.ExponentialLR","0.85","DeepChem/ChemBERTa-77M-MTR","bindingDB_AA1R_HUMAN_P30542","1.2202730178833008","24","28.749999999999996","0.22723311185836792","0.14777782559394836","0.03795870393514633","0.19482994079589844","10.74231243133545","0.17657344043254852","",""
"robust-disco-1444","0.2735528314420834","0.5298922264578081","finished","DeepChem/ChemBERTa-77M-MLM","bk1n","DeepChem/ChemBERTa-77M-MLM, bindingDB_DRD2_HUMAN_P14416, full_test","2023-01-19T09:40:59.000Z","29","","128","","false","torch.nn.modules.loss.SmoothL1Loss","0.000060533063949539814","80","10","modules.optimisers.Optim_BaseAdamW","transformers.optimization.get_linear_schedule_with_warmup","0.85","DeepChem/ChemBERTa-77M-MLM","bindingDB_DRD2_HUMAN_P14416","1.7263760566711426","9","10","0.007275472395122051","0.1627548635005951","0.04358422756195069","0.2087683528661728","22.48945999145508","0.025076694786548615","",""
"polished-music-1404","0.27078133651744507","0.5501368398479266","finished","DeepChem/ChemBERTa-10M-MTR","bk1n","DeepChem/ChemBERTa-10M-MTR, bindingDB_5HT1A_HUMAN_P08908, full_test","2023-01-18T23:25:31.000Z","40","","128","","false","modules.loss.RMSE_loss","0.00003277141254273033","40","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.ExponentialLR","0.85","DeepChem/ChemBERTa-10M-MTR","bindingDB_5HT1A_HUMAN_P08908","1.1989450454711914","25","60","0.28598886728286743","0.23528732359409332","0.08444517105817795","0.29059451818466187","27.529125213623047","0.2581822872161865","",""
"noble-sea-1246","0.2682543455958175","0.5189894667679381","finished","DeepChem/ChemBERTa-10M-MTR","bk1n","DeepChem/ChemBERTa-10M-MTR, bindingDB_DRD2_HUMAN_P14416, full_test","2023-01-18T21:11:43.000Z","48","","128","","false","torch.nn.modules.loss.SmoothL1Loss","0.00003889029119420495","40","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.ExponentialLR","0.85","DeepChem/ChemBERTa-10M-MTR","bindingDB_DRD2_HUMAN_P14416","1.8923890590667725","20","47.5","0.0022608458530157804","0.1609390527009964","0.043902117758989334","0.2095283269882202","22.653493881225582","0.02208959124982357","",""
"expert-serenity-251","0.26617713653497177","0.5271936804556038","finished","seyonec/ChemBERTa-zinc-base-v1","bk1n","bindingDB_5HT1A_RAT_P19327, full_test, seyonec/ChemBERTa-zinc-base-v1","2023-01-12T23:59:30.000Z","90","","128","","false","torch.nn.modules.loss.SmoothL1Loss","0.000005209094920737651","80","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.ExponentialLR","0.85","seyonec/ChemBERTa-zinc-base-v1","bindingDB_5HT1A_RAT_P19327","3.9566221237182617","19","22.5","0.024695733562111855","0.17137601971626282","0.04985661059617996","0.2232859432697296","12.115156173706056","0.02184530533850193","",""
"silvery-smoke-1771","0.2661328494486086","0.517628089141636","finished","DeepChem/ChemBERTa-77M-MTR","bk1n","DeepChem/ChemBERTa-77M-MTR, bindingDB_CAH1_HUMAN_P00915, full_test","2023-01-20T12:47:55.000Z","65","","128","","false","modules.loss.RMSE_loss","0.000014472154848451552","40","10","modules.optimisers.Optim_BaseAdamW","transformers.optimization.get_linear_schedule_with_warmup","0.85","DeepChem/ChemBERTa-77M-MTR","bindingDB_CAH1_HUMAN_P00915","1.5145347118377686","36","87.5","0.27821770310401917","0.20408567786216736","0.06553316116333008","0.2559944689273834","27.261798858642575","0.19959525763988495","",""
"pleasant-smoke-503","0.26477214898098367","0.5224787508313968","finished","seyonec/ChemBERTa-zinc250k-v1","bk1n","bindingDB_DRD2_HUMAN_P14416, full_test, seyonec/ChemBERTa-zinc250k-v1","2023-01-13T08:19:57.000Z","75","","128","","true","torch.nn.modules.loss.SmoothL1Loss","0.00001911906700617552","80","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.ExponentialLR","0.85","seyonec/ChemBERTa-zinc250k-v1","bindingDB_DRD2_HUMAN_P14416","11.033934831619264","5","5","0.007415673695504665","0.16017161309719086","0.04411103576421738","0.21002627909183505","22.761295318603516","0.021004972979426384","",""
"dutiful-feather-1222","0.26434737860318014","0.5163934940637174","finished","DeepChem/ChemBERTa-10M-MTR","bk1n","DeepChem/ChemBERTa-10M-MTR, bindingDB_CAH9_HUMAN_Q16790, full_test","2023-01-18T20:52:56.000Z","55","","128","","false","modules.loss.RMSE_loss","0.00000893909139899489","40","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.LinearLR","0.85","DeepChem/ChemBERTa-10M-MTR","bindingDB_CAH9_HUMAN_Q16790","1.1579327583312988","40","97.5","0.2876599133014679","0.23118478059768677","0.08336904644966125","0.2887369990348816","25.761035919189453","0.29426729679107666","",""
"royal-hill-1506","0.26300541307942127","0.5183656744295938","finished","DeepChem/ChemBERTa-77M-MLM","bk1n","DeepChem/ChemBERTa-77M-MLM, bindingDB_AA1R_HUMAN_P30542, full_test","2023-01-19T10:23:35.000Z","40","","128","","true","modules.loss.RMSE_loss","0.00007691450811203068","40","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.ExponentialLR","0.85","DeepChem/ChemBERTa-77M-MLM","bindingDB_AA1R_HUMAN_P30542","1.0011816024780271","19","45","0.22575503587722776","0.14925801753997803","0.03862862661480904","0.1965416669845581","10.93190097808838","0.17742030322551727","",""
"stellar-moon-361","0.262999315461691","0.548816683366343","finished","seyonec/ChemBERTa-zinc-base-v1","bk1n","bindingDB_AA1R_HUMAN_P30542, full_test, seyonec/ChemBERTa-zinc-base-v1","2023-01-13T03:37:13.000Z","100","","128","","true","torch.nn.modules.loss.SmoothL1Loss","0.000008474361984625431","80","10","modules.optimisers.Optim_BaseAdamW","transformers.optimization.get_linear_schedule_with_warmup","0.85","seyonec/ChemBERTa-zinc-base-v1","bindingDB_AA1R_HUMAN_P30542","4.728433132171631","18","21.25","0.026376964524388313","0.14644041657447815","0.038628943264484406","0.19654247164726257","10.931991577148438","0.010875765234231949","",""
"rosy-mountain-1517","0.26253080215685287","0.5523912542554597","finished","DeepChem/ChemBERTa-77M-MLM","bk1n","DeepChem/ChemBERTa-77M-MLM, bindingDB_AA1R_HUMAN_P30542, full_test","2023-01-19T10:32:10.000Z","38","","128","","true","modules.loss.RMSE_loss","0.00003661063290975577","40","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.LinearLR","0.85","DeepChem/ChemBERTa-77M-MLM","bindingDB_AA1R_HUMAN_P30542","1.0212502479553225","28","67.5","0.22365574538707733","0.15283289551734924","0.038653500378131866","0.1966049373149872","10.938940048217772","0.11934060603380205","",""
"logical-tree-2129","0.2609102802243395","0.6159178248134235","finished","DeepChem/ChemBERTa-10M-MTR","bk1n","DeepChem/ChemBERTa-10M-MTR, bindingDB_DRD2_HUMAN_P14416, oprm_oprk, split_test","2023-02-23T16:35:21.000Z","99","","128","scaffold","false","modules.loss.RMSE_loss","0.0000690452546751227","80","10","modules.optimisers.Optim_BaseAdamW","torch.optim.lr_scheduler.LinearLR","0.85","DeepChem/ChemBERTa-10M-MTR","bindingDB_DRD2_HUMAN_P14416","2.083547830581665","38","46.25","1.700383543968201","1.362485408782959","3.438978672027588","1.854448318481445","1753.879150390625","0.5642876029014587","",""
"apricot-darkness-1809","0.2583312858133846","0.5427746249425887","finished","DeepChem/ChemBERTa-77M-MTR","bk1n","DeepChem/ChemBERTa-77M-MTR, bindingDB_CAH2_HUMAN_P00918, full_test","2023-01-20T13:24:29.000Z","129","","128","","false","torch.nn.modules.loss.SmoothL1Loss","0.000003951088504162389","80","10","modules.optimisers.Optim_BaseAdamW","transformers.optimization.get_linear_schedule_with_warmup","0.85","DeepChem/ChemBERTa-77M-MTR","bindingDB_CAH2_HUMAN_P00918","1.5339221954345703","80","98.75","0.02982003055512905","0.20632216334342957","0.06493332982063293","0.25482019782066345","28.83039665222168","0.027770986780524257","",""
